Dizi Adı,Senarist,Yönetmen,Başrol,Ülke,Kanal,Durumu,Konu,Sezon Sayısı,Bölüm Sayısı,Yapımcı,Yayın tarihi,Platform,Tema Müziği Bestecisi
"Türkan Hanım'ın Konağı, Link",,,Arzu YanardağMürşit Ağa BağAyşen İnciOkan Yiğit,Türkiye,TRT 1,Sona erdi,"Türkan Hanım'ın Konağı, 14 Eylül 2020 tarihinde yayımlanmaya başlayan aile ve dram türündeki Türk dizisi ve televizyon programıdır. Başrollerinde Arzu Yanardağ ve Mürşit Ağa Bağ'ın yer aldığı bu yapım hafta içi her gün TRT 1'de yayımlanmaktaydı. Dizi, 11 Haziran 2021’de yayımlanan 193. bölümü ile final yaparak yayın hayatına son vermiştir.[1]",1,193,,14 Eylül 2020 - 11 Haziran 2021,,
Uyanış,Serdar ÖzönalanEmre Konuk,Sedat İnci,Buğra GülsoyEkin KoçHatice ŞendilGürkan UygunSezin AkbaşoğullarıSevda ErginciMehmet ÖzgürLeyla Lydia TuğutluCemal Toktaşİlker KızmazAli GözüşirinLeyla FerayPınar TöreBülent Alkış,Türkiye,TRT 1,Sona erdi,,1,34 (bölümleri listesi),Emre Konuk,28 Eylül 2020 - 31 Mayıs 2021,,Gökhan Kırdar
"Ya İstiklal Ya Ölüm, Link",Funda Çetin,Yasin Uslu,İlker KızmazBirkan SokulluDolunay SoysertOsman SonantMehmet ÖzgürRıza KocaoğluHilmi Cem İntepeMelis Sezen,Türkiye,TRT 1,Sona erdi,"Ya İstiklal Ya Ölüm, Kirli Kedi yapım imzalı, yönetmenliğini Yasin Uslu'nun üstlendiği, senaryosunu Funda Çetin'in kaleme aldığı tarihî ve kurgu türündeki Türk yapımı mini televizyon dizisi.[1] Dizide, 16 Mart 1920'de İstanbul'un işgal edilip Meclis-i Mebûsan'ın dağıtılması, Mim Mim Grubu'nun işgal altında olan İstanbul'da yaptığı mücadele, Mustafa Kemal Paşa liderliğinde vücut bulan Kuvâ-yi Milliye hareketi ve Ankara'da yeni bir meclisin kuruluş süreciyle birlikte 23 Nisan 1920 tarihinde yapılan açılışı anlatılmaktadır. Dizi, 20 Nisan 2020 tarihinde yayımlanan 11 ve 12. bölümüyle final yapmıştır.",1,12,,16 Mart 2020 - 20 Nisan 2020,,
"Yarım Kalan Aşklar, Link",Ethem ÖzışıkHakan BonomoErcan Uğur,Umur Turagay,Burak DenizDilan Çiçek DenizCem DavranEzel Akay,Türkiye,,Sona erdi,"Yarım Kalan Aşklar, BluTV ve Tims Productions imzalı, ilk bölümü 10 Eylül 2020 tarihinde yayımlanan, yönetmen koltuğuna Umur Turagay'ın oturduğu, senaryosunu  Ethem Özışık, Hakan Bonomo ve Ercan Uğur'un birlikte kaleme aldıkları polisiye, suç ve romantik türündeki Türk yapımı internet dizisi.",1,8,Timur SavcıBurak Sağyaşar,10 Eylül 2020 - 29 Ekim 2020,BluTV,
"Yeni Hayat, Link",Elif UsmanSerdar SoydanDeniz Büyükkırlı,Başak SoysalCem Özüduru,Serkan ÇayoğluMelisa Aslı PamukTayanç AyaydınNilperi Şahinkaya,Türkiye,Kanal D,Sona erdi,"Yeni Hayat, OJO Pictures imzalı, ilk bölümü 3 Eylül 2020 tarihinde yayımlanan, yönetmenliğini Başak Soysal ve Cem Özüduru'nun yaptığı, senaryosu Elif Usman, Serdar Soydan ve Deniz Büyükkırlı üçlüsü tarafından kaleme alınan aksiyon ve dram türündeki Türk yapımı  televizyon dizisi.[1][2][3][4] Dizi,  29 Ekim 2020 tarihinde yayımlanan 9. bölümüyle final yaparak sona erdi.[5]",1,9,Ömer ÖzgünerÜmmü Burhan,3 Eylül 2020 - 29 Ekim 2020,,
"Zemheri, Link",Sema Ergenekon,Hilal Saral,Alperen DuymazAyça Ayşin TuranCaner Cindoruk,Türkiye,Show TV,Sona erdi,"Zemheri, Ay Yapım imzalı, ilk bölümü 15 Ocak 2020 tarihinde yayımlanan, yönetmenliğini Hilal Saral'ın yaptığı, senaryosunu Sema Ergenekon'un kaleme aldığı ve başrollerini Alperen Duymaz, Ayça Ayşin Turan ve Caner Cindoruk’un paylaştığı Türk yapımı dram türündeki televizyon dizisi.[1][2][3] Dizi, 18 Mart 2020 tarihinde yayımlanan 10. bölümü ile final yaparak sona ermiştir.",1,10,Kerem Çatay,15 Ocak 2020 - 18 Mart 2020,,
"Zümrüdüanka, Link",Can Sinan (1-9)Eylem Canpolat (10-26)Işıl Sönmez (10-26)Nazlı Pınar Ünlü (10-26)Feraye Gizem Kurt (10-26)Leyla Oter (10-18)Doruk Erengül (10-18)Deniz Demirbilek (19-26)Alper Çağlayan (19-26),Cemal Şan (1-8)Serhan Şahin (9-16)Volkan Kocatürk (17-26),Alp NavruzCeren YılmazSelim BayraktarHatice Aslanİsmail Hacıoğlu,Türkiye,FOX,Sona erdi,"Zümrüdüanka, Pastel Film imzalı, ilk bölümü 25 Ocak 2020 tarihinde yayımlanan, yönetmenliğini Volkan Kocatürk'ün üstlendiği, senaryosu ise Eylem Canpolat tarafından kaleme alınan dram türündeki Türk televizyon dizisi.[1] 2 sezondan oluşan dizi, 6 Ocak 2021 tarihinde yayımlanan 26. bölümü ile final yaparak sona erdi.",2,26,Yașar İrvülEfe İrvül,25 Ocak 2020 - 6 Ocak 2021,,
"Afili Aşk, Link",Barış Erdoğanİlker ArslanOkşan TavaslıoğluKübra SülünMeryem Demirli,Serdar Gözelekli,Çağlar ErtuğrulBurcu Özberk,Türkiye,Kanal D,Sona erdi,"Afili Aşk, ARC Film imzalı, ilk bölümü 12 Haziran 2019 tarihinde yayımlanan, yönetmenliğini Serdar Gözelekli'nin yaptığı, senaryosunu ise Barış Erdoğan, İlker Arslan, Okşan Tavaslıoğlu, Kübra Sülün ve Meryem Demirli'nin kaleme aldığı Türk yapımı romantik komedi türündeki televizyon dizisidir.[1] Dizi, 19 Mart 2020 tarihinde yayımlanan 38. bölümü ile final yaparak sona ermiştir.",1,38 (bölümleri listesi),Fatih Enes Ömeroğlu,12 Haziran 2019 - 19 Mart 2020,,
"Aşk Ağlatır, Link",Yelda Eroğlu  Yeşim Çıtak,Gökçen Usta,Deniz Can AktaşHafsanur SancaktutanYağız Can KonyalıEda Şölenci,Türkiye,Show TV,Sona erdi,"Aşk Ağlatır, MF Yapım imzalı, ilk bölümü 8 Eylül 2019 tarihinde yayımlanan, yönetmenliğini Gökçen Usta'nın yaptığı, senaryosunu Yelda Eroğlu ve Yeşim Çıtak'ın yazdığı Türk yapımı dram türündeki televizyon dizisi.[1] Dizi, 22 Aralık 2019 tarihinde yayımlanan 16. bölümü ile final yaparak sona ermiştir. 2016 yapımı Japonya dizisi olan Love That Makes You Cry'dan uyarlanmıştır.[2]",1,16,Faruk Bayhan,8 Eylül 2019 - 22 Aralık 2019,,
"Atiye, Link",Jason GeorgeNuran Evren ŞitAyşin AkbulutCansu ÇobanMerih AslanAtasay KoçNergis OtluoğluAli ErcivanPelin Karamehmetoğlu,Ozan AçıktanBurcu AlptekinGönenç UyanıkGökhan TiryakiAli Taner Baltacı,Beren SaatMehmet GünsürMetin AkdülgerMelisa Şenolsun,Türkiye,,Sona erdi,,3,24,Onur Güvenatam,27 Aralık 2019 (2019-12-27) - 17 Haziran 2021 (2021-06-17),Netflix,
"Aynen Aynen, Link",Alper Erze,Yunus Ozan Korkut Osman Kaya,,Türkiye,,Sona erdi,"Aynen Aynen, 2019-2021 yılları arasında yayımlanan, yeni nesil aşk ve komedi türündeki Türk mini internet dizisidir.",6,43,Games Medya,1 Ağustos 2019 - 16 Temmuz 2021,YouTube (1 Ağustos 2019-12 Eylül 2019) BluTV (17 Ekim 2019-16 Temmuz 2021),
"Azize, Link",Başar BaşaranEmre ÖzdurErkan Birgören,Volkan Kocatürk,Hande ErçelBuğra Gülsoy,Türkiye,Kanal D,Yayından kaldırıldı,"Azize, Süreç Film imzalı, ilk bölümü 19 Kasım 2019 tarihinde yayımlanan, yönetmenliğini Volkan Kocatürk'ün yaptığı, senaryosunu Erkan Birgören, Başar Başaran ve Emre Özdur'un birlikte kaleme aldıkları Türk yapımı dram türündeki televizyon dizisidir.[1][2][3] Dizi,  28 Aralık 2019 tarihinde yayımlanan 6. bölümü ile yayından kaldırıldı.[4]",1,6,Ali Gündoğdu,19 Kasım 2019 - 28 Aralık 2019,,
"Behzat Ç. Bir Ankara Polisiyesi, Link","Emrah Serbes (10, 20, 30/48, 58, 68) (Senaryo)  Ercan Mehmet Erdem (Senaryo)  Birol Tezcan (Tretman)","Serdar Akar (1, 2 ve 4. sezon) (Genel Yönetmen)  Doğan Ümit Karaca  (1 ve 2. sezon)  Zekeriya Kurtuluş (2. sezon)  Mustafa Altıoklar (2. sezon) (Konuk Yönetmen)  Sadullah Şentürk (3. sezon)",Erdal Beşikçioğlu  Canan Ergüder  Fatih Artman  İnanç Konukçu  Berkan Şal  Seda Bakan  Berke Üzrek  Eray Eserol  Hakan Hatipoğlu Ege Aydan  Ayça Eren  Nejat İşler  Güven Kıraç  Zafer Algöz  Aslı Tandoğan  Ahmet Uğurlu  Mine Tugay  Engin Öztürk  Sezin Akbaşoğulları  Serdar Orçin  Gökhan Yıkılkan Ertuğrul Şakar  ve diğerleri,Türkiye,Star TV (2010-2013)  BluTV (2019),Sona erdi,"Behzat Ç. Bir Ankara Polisiyesi, 2010-2013 yılları arasında Star TV'de, 2019 yılında ise Blu TV'de yayımlanan, Emrah Serbes'in Her Temas İz Bırakır romanından esinlenerek hazırlanmış Türk yapımı polisiye, macera, dram, komedi, aksiyon ve gerilim türündeki televizyon ve internet dizisidir.",4,105 (bölümleri listesi),Tarkan Karlıdağ (Tüm sezonlar)  Can Okan  Ahmet Ziyalar (4. sezon),19 Eylül 2010 - 19 Eylül 2019,,Cem Kısmet
"Benim Adım Melek, Link",Nilüfer ÖzçelikBerfu Ergenekon,Cem AkyoldaşCelil Murat SarıGünay Günaydın,Nehir ErdoğanKutsi,Türkiye,TRT 1,Sona erdi,"Benim Adım Melek, Üs Yapım imzalı, ilk bölümü 25 Eylül 2019 tarihinde yayımlanan, yönetmenliğini Cem Akyoldaş, Celil Murat Sarı ve Günay Günaydın[1]'ın yaptığı, senaryosunu Nilüfer Özçelik ve Berfu Ergenekon'un birlikte kaleme aldıkları Türk yapımı dram  türündeki televizyon dizisidir.[2][3][4][5] 2 sezondan oluşan dizi, 19 Mayıs 2021 tarihinde yayımlanan 66. bölümüyle final yaparak sona erdi.",2,66 (bölümleri listesi),Süreyya Yaşar Önal,25 Eylül 2019 - 19 Mayıs 2021,,Aydilge
"Benim Tatlı Yalanım, Link",Deniz DargıMurat TaşkentCenk BoğaturCem Görgeç,Barış Erçetin,Furkan PalalıAslı BekiroğluLavinya Ünlüer,Türkiye,Star TV HD,Sona erdi,"Benim Tatlı Yalanım, O3 Medya imzalı, ilk bölümü 13 Haziran 2019 tarihinde yayımlanan, yönetmenliğini Barış Erçetin ve Cihan Vural'ın birlikte üstlendiği, senaryosunu Deniz Dargı, Murat Taşkent, Cenk Boğatur ve Cem Görgeç'in birlikte kaleme aldıkları romantik komedi ve dram türündeki Türk yapımı televizyon dizisi.[1][2] Dizi, 28 Aralık 2019 tarihinde yayımlanan 28. bölümü ile final yaparak sona ermiştir.[3]",1,28,Onur Güvenatam,13 Haziran 2019 - 28 Aralık 2019,,
"Bir Aile Hikayesi, Link",Deniz Madanoğlu,Merve Girgin Aytekin (1)Murat Şenöy (2-18)Murat Öztürk (3-18),Songül ÖdenBirkan SokulluCelil NalçakanOlgun TokerElçin Afacanİrem Sak,Türkiye,FOX,Sona erdi,"Bir Aile Hikayesi, 9 Mart 2019 tarihinde FOX'ta yayımlanmaya başlayan, senaristliğini Deniz Madanoğlu'nun yaptığı, yönetmen koltuğunda Merve Girgin Aytekin, Murat Şenöy ve Murat Öztürk'ün oturduğu, başrollerini Songül Öden, Birkan Sokullu, Celil Nalçakan, Olgun Toker, Elçin Afacan ve İrem Sak'ın paylaştığı dram, aile ve komedi türündeki Türk televizyon dizisi.[1] ABD yapımı This Is Us dizisinden uyarlanmıştır.[2] 2 sezondan oluşan dizi, 19 Ekim 2019 tarihinde yayımlanan 18. bölümü ile final yaparak sona erdi.[3]",2,18,Fatih Aksoy,9 Mart 2019 - 19 Ekim 2019,,Uğur Akyürek
"Canevim, Link",Filiz AlpgezmenEylem AkınMurat Can Tura,Adnan Güler,Aras AydınBiran Damla YılmazÖzgür ÇevikBurcu TunaEzgi ŞenlerNihan BüyükağaçRıza AkınBedia Ener,Türkiye,atv,Yayından kaldırıldı,"Canevim, Koliba Film imzalı, senaryosunu Filiz Alpgezmen, Eylem Akın ve Murat Can Tura'ın yazdığı, başrollerini Aras Aydın, Biran Damla Yılmaz, Özgür Çevik, Burcu Tuna, Ezgi Şenler, Nihan Büyükağaç, Rıza Akın ve Bedia Ener'in paylaştıkları dram ve aile türündeki Türk televizyon dizisidir.[1][2] Dizi, 30 Eylül 2019 tarihinde yayımlanan 17. bölümüyle yayından kaldırıldı.",1,17,Ata Türkoğlu,27 Mayıs 2019 - 30 Eylül 2019,,
"Çocuk, Link",Nazlı Sunlu KaçanHilal Yıldız,Serkan Birinci,Nazan Kesalİsmail HacıoğluSerhat TeomanMerve ÇağıranCeyda Ateş ToplusoyKenan AcarMehmet Emin Güney,Türkiye,Star TV,Sona erdi,"Çocuk, 1441 Productions imzalı, ilk bölümü 9 Eylül 2019 tarihinde yayımlanan, yönetmeliğini Serkan Birinci'nin yaptığı, senaryosunu Nazlı Sunlu Kaçan ve Hilal Yıldız'ın birlikte yazdığı Türk yapımı dram türündeki televizyon dizisidir.[1][2][3] Dizi, 28 Ocak 2020 tarihinde yayımlanan 18. bölümü ile final yaparak sona ermiştir.[4]",1,18,İrfan ŞahinCengiz Deveci,9 Eylül 2019 - 28 Ocak 2020,,
"Çok Güzel Hareketler 2, Link",BKM Mutfak Ekibi,Özge Toprak Bahıt (1-52)Yılmaz Erdoğan (53-89)Çağdaş Helvacı (90-),BKM Mutfak Ekibi,Türkiye,Kanal D (10 Şubat 2019-31 Ocak 2022)  Star TV (20 Mart 2022-günümüz),Devam ediyor,"Çok Güzel Hareketler 2, BKM Mutfak imzalı, 2019 yılında Kanal D'de yayımlanmaya başlayan eğlence türündeki Türk televizyon programıdır. 2008-2011 yılları arasında yayımlanan Çok Güzel Hareketler Bunlar adlı programın devamı niteliğindedir. İlk bölümü 10 Şubat 2019 tarihinde yayımlanmıştır. Programın sanat yönetmeni Yılmaz Erdoğan'dır. Yılmaz Erdoğan, film çalışmalarına başladığı için görevini 64. bölümde Eser Yenenler'e devretmiştir.[1][2] Program, 20 Mart 2022 tarihinde ekrana gelen 110. bölümden itibaren ise Star TV'de yayımlanmaya devam etmektedir.",6,159 (bölümleri listesi),Necati Akpınar,10 Şubat 2019 - günümüz,,Deniz Erdoğan
"Dengi Dengine, Link",Optik Düşler Senaryo Grubu,Osman Nail Doğan Murad Zaloğlu,Su KutluBora AkkaşBaran Can EraslanMurat KekilliŞinasi YurtseverAltan ErkekliBenian DönmezJale Aylanç,Türkiye,TRT 1,Sona erdi,"Dengi Dengine, 2019 yılının Haziran ayında (o senenin Ramazan Bayramı haftasında) TRT 1'de yayımlanan ve 5 bölüm süren aile ve komedi türündeki mini Türk televizyon dizisidir.[1][2]",1,5,Ogün Şanlıerİbrahim Elma,3 Haziran 2019 - 7 Haziran 2019,,
"Doğduğun Ev Kaderindir, Link",Eylem Canpolat (1-27)Ayşenur Sıkı (1-27)Defne Gürsoy (1-27)Doruk Erengül (2/5-27)Seray Şahiner (1-33)Selcan Özgür (33-43)Berrin Tekdemir (37-43)Firuze Engin (38-43),Çağrı Bayrak,Demet Özdemirİbrahim ÇelikkolEngin Öztürk,Türkiye,TV8,Sona erdi,"Doğduğun Ev Kaderindir, OGM Pictures imzalı, ilk bölümü 25 Aralık 2019 tarihinde yayımlanan, yönetmenliğini Çağrı Bayrak'ın üstlendiği, senaryosunu Selcan Özgür, Berrin Tekdemir ve Firuze Engin'in birlikte kaleme aldığı Türk yapımı dram türündeki televizyon dizisidir. Yazar Gülseren Budayıcıoğlu'nun Camdaki Kız adlı eserinden uyarlanmıştır. 2 sezondan oluşan dizi, 12 Mayıs 2021 tarihinde yayımlanan 43. bölümü ile final yaparak sona erdi.",2,43 (bölümleri listesi),Onur Güvenatam,25 Aralık 2019 - 12 Mayıs 2021,,
"Ferhat ile Şirin, Link",Savaş Korkmaz,Mehmet Ada Öztekin,Cansu DereTolga SarıtaşLeyla Tanlar,Türkiye,FOX,Yayından kaldırıldı,"Ferhat ile Şirin, O3 Medya imzalı, ilk bölümü 22 Kasım 2019 tarihinde yayımlanan, yönetmenliğini Mehmet Ada Öztekin'in üstlendiği, senaryosunu ise Savaş Korkmaz'ın kaleme aldığı Türk yapımı dram türündeki televizyon dizisi.[1] Masalsı bir aşk hikâyesinin önündeki engelleri aşmaya çalışan Ferhat ile Şirin'in modern bir bakış açısıyla hikâyesi anlatılmaktadır.[2][3] Dizi, 27 Aralık 2019 tarihinde yayımlanan 6. bölümü ile yayından kaldırıldı.[4]",1,6,Saner Ayar,22 Kasım 2019 - 27 Aralık 2019,,
"Güvercin, Link",Halil Özer,Altan Dönmez,Mehmet Ali NuroğluAlmila AdaMenderes SamancılarNursel Köse,Türkiye,Star TV (2019-2020),Sona erdi,"Güvercin, Pastel Film imzalı, ilk bölümü 24 Kasım 2019 tarihinde yayımlanan, yönetmeliğini Altan Dönmez'in yaptığı, senaryosunu ise Halil Özer'in kaleme aldığı Türk yapımı dram türündeki televizyon dizisi.[1][2]    Dizi, 28 Ekim 2020 tarihinde yayımlanan 16. bölümü ile final yaparak sona erdi.[3]",1,16,Yaşar İrvül,24 Kasım 2019 - 28 Ekim 2020,,
"Halka, Link",Aziz TunaSelim BenerAli DemirelMeryem Diri,Volkan KocatürkBaşak SoysalSüleyman Mert Özdemir,Nazan KesalSerkan ÇayoğluKaan YıldırımHande ErçelHazal SubaşıAhmet Mümtaz Taylan,Türkiye,TRT 1,Yayından kaldırıldı,"Halka, Es Film imzalı, ilk bölümü 15 Ocak 2019 tarihinde yayımlanan, yönetmen koltuğuna Volkan Kocatürk'ün oturduğu, senaryosunu Aziz Tuna, Selim Bener, Ali Demirel ve Meryem Diri'nin birlikte kaleme aldıkları polisiye, aksiyon, dram ve suç türündeki Türk yapımı televizyon dizisi.[1][2] İlk 13 bölümü Volkan Kocatürk tarafından yönetilen diziyi, 14. bölümden itibaren ise Başak Soysal ve Süleyman Mert Özdemir yönetmiştir.[3] Dizi, 28 Mayıs 2019 tarihinde yayımlanan 19. bölümüyle sezon finali yaparak yayından kaldırıldı.",1,19,Yusuf EsenkalSerdar Öğretici,15 Ocak 2019 (2019-01-15) - 28 Mayıs 2019 (2019-05-28),,
"Hekimoğlu, Link",Banu Kiremitçi Bozkurt (1-14)Neşe Şen (15-25)Elif Benan Tüfekçi (26-33)Esed Akçilad (34-41)Murat Taşkent (42-51),Hülya Gezer (1-24)Semih Bağcı (15-24)Emre Aybek (25-51),Timuçin EsenOkan YalabıkEbru ÖzkanKaan YıldırımAytaç ŞaşmazDamla Colbay,Türkiye,Kanal D,Sona erdi,"Hekimoğlu, Karga Seven ve OJO Pictures imzalı, ilk bölümü 17 Aralık 2019 tarihinde yayımlanan, 14 bölüm boyunca senaryosunu Banu Kiremitçi Bozkurt'un yazdığı ve yerini 15. bölümden itibaren Neşe Şen'e bıraktığı medikal drama ve komedi türündeki Türk yapımı televizyon dizisi.[1][2] Amerikan yapımı House M.D. dizisinden uyarlanmıştır.[3] 2 sezondan oluşan dizi, 25 Mayıs 2021 tarihinde yayımlanan 51. bölümü ile final yaparak sona ermiştir.",2,51 (bölümleri listesi),Ömer ÖzgünerÜmmü BurhanKerem Çatay,17 Aralık 2019 - 25 Mayıs 2021,,Tuna Hizmetli
"Her Yerde Sen, Link",Meriç Acemi,Ender Mıhlar,Furkan AndıçAybüke Pusat,Türkiye,FOX,Sona erdi,"Her Yerde Sen, Karga Seven Pictures imzalı, ilk bölümü 14 Haziran 2019 tarihinde yayımlanan, yönetmenliğini Ender Mıhlar'ın üstlendiği, senaryosunu Deniz Yeşilgün ve Esra Çetek Yılmazer'in birlikte kaleme aldıkları Türk yapımı romantik komedi türündeki televizyon dizisidir.[1] Dizinin jenerik müzikleri Zeynep Bastık'a aittir. Dizi, 23 Kasım 2019 tarihinde yayımlanan 23. bölümü ile final yaparak sona ermiştir.[2] 24'üncü Altın Objektif Ödül töreninde en iyi romantik komedi dizisi ödülünü almıştır.[3] 2020 yılında 46. Altın Kelebek 46. Pantene Altın Kelebek Ödülleri'nde. Pantene Altın Kelebek Ödülleri'nde ise Furkan Andıç ve Aybüke Pusat'ın canlandırdığı Demir ve Selin çifti en iyi dizi çifti ödülünü almıştır.[kaynak belirtilmeli]",1,23,Ömer Özgüner,14 Haziran 2019 - 23 Kasım 2019,,Zeynep Bastık
"Hercai, Link",Eda Tezcan (1-12) Feraye Şahin Berşan Tan  Pelin Gülcan  Sema Ali Erol,Cem Karcı (1-34)Benal Tairi (1-34)Barış Yöş (35-43) Ali İlhan (44-69),Akın Akınözü Ebru Şahin,Türkiye,atv,Sona erdi,"Hercai, Mia Yapım imzalı, 15 Mart 2019 tarihinde  atv'de yayımlanmaya başlayan dram ve aşk türündeki Türk televizyon dizisidir.[1][2][3][4] 3 sezondan oluşan dizi, 25 Nisan 2021 tarihinde yayımlanan 69. bölümü ile final yaparak sona erdi. Başrollerini Akın Akınözü ve Ebru Şahin paylaşmaktadır.",3,69 (bölümleri listesi),Banu Akdeniz,15 Mart 2019 - 25 Nisan 2021,,
"İncir Ağacı, Link",Ayla Hacıoğulları,Nuh ŞenHamit Coşkun,Özlem GüveliArif Nazım,Türkiye,TRT 1,Sona erdi,"İncir Ağacı, Sonsuzkare Yapım'ın yapımcılığı üstlendiği, Türk yapımı günlük yayımlanan dram türündeki televizyon dizisi. Dizinin başrollerinde Özlem Güveli ve Arif Nazım yer almaktadır.[1] Dizi,        1 Mayıs 2020 tarihinde yayımlanan 140. bölümü ile final yaparak sona erdi.",1,140,Mesut UçakanHüseyin Türkyıldırır,14 Ekim 2019 - 1 Mayıs 2020,,
"Kardeş Çocukları, Link",Sırma Yanık,Faruk Teber,Mehmet AslantuğAyça BingölNur FettahoğluAfra SaraçoğluAlara TuranFurkan AndıçBerkay Hardal,Türkiye,Star TV,Sona erdi,"Kardeş Çocukları, Gold Film imzalı, ilk bölümü 27 Ocak 2019 tarihinde yayımlanan, yönetmen koltuğuna Faruk Teber'in oturduğu, başrollerini Mehmet Aslantuğ, Ayça Bingöl, Nur Fettahoğlu ve Afra Saraçoğlu'nun paylaştığı dram türündeki Türk televizyon dizisi.[1] 2 sezondan oluşan dizi, 8 Ekim 2019 tarihinde yayımlanan 21. bölümü ile final yaparak sona erdi.[2]",2,21,Faruk Turgut,27 Ocak 2019 - 8 Ekim 2019,,
"Kimse Bilmez, Link",Hasan Burak Kayacı (1-27)Kemal Çelik (1-17)Ahmet Özdemir (1-17)Pınar Uysal (4-17)Serap Özgür (7-14),U. Hakan Eren (1-27)Kartal Çidamlı (1-17)Reyhan Pekar (18-27),KeremcemÖzgü KayaEngin HepileriBurak Serdar Şanal,Türkiye,atv,Sona erdi,"Kimse Bilmez, Baba Yapım imzalı, ilk bölümü 11 Haziran 2019 tarihinde yayımlanan, yönetmenliğini Hakan Eren ve Kartal Çidamlı'nın üstlendiği, senaryosunu Hasan Burak Kayacı, Kemal Çelik, Pınar Uysal ve Ahmet Özdemir'in birlikte yazdığı, Türk yapımı aile ve dram türündeki televizyon dizisidir.[1][2] Dizi, 29 Aralık 2019 tarihinde yayımlanan 27. bölümüyle final yaparak sona erdi.[3]",1,27 (bölümleri listesi),,11 Haziran 2019 - 29 Aralık 2019,,
"Kurşun, Link",Kerem Deren,Murat Can OğuzBurak Arlıel,Engin Altan DüzyatanBurçin TerzioğluBerrak TüzünataçSarp AkkayaEngin ŞenkanKürşat AlnıaçıkSeda Akman,Türkiye,FOX,Sona erdi,"Kurşun, Most Production imzalı, ilk bölümü 23 Ekim 2019 tarihinde yayımlanan, senaryosu Kerem Deren tarafından yazılan Türk yapımı aksiyon ve dram türündeki televizyon dizisidir.[1] 1970’lerin İstanbul’unda adalet arayan bir savcı ve gazetecinin hikâyesi anlatılmaktadır.[2] Dizi, 4 Aralık 2019 tarihinde yayımlanan 7. bölümü ile final yaparak sona ermiştir.[3]",1,7,Gül Oğuz,23 Ekim 2019 - 4 Aralık 2019,,Timur Selçuk
"Kuruluş Osman, Link",Mehmet BozdağAtilla EnginOzan BodurFatma Nur GüldalıAbdulkadir İlterAslı Zeynep Peker BozdağAli Ozan Salkım,Metin Günay (1-64)Ahmet Yılmaz (65-),Burak ÖzçivitYıldız Çağrı AtiksoyÖzge TörerEmre BeyÇağrı ŞensoyYiğit UçanEski başrollerNurettin SönmezRagıp SavaşSaruhan HünelDidem BalçınErkan AvcıSerhat KılıçYıldıray ŞahinlerYeşim Ceren BozoğluKanbolat Görkem ArslanSeray KayaSeçkin ÖzdemirTeoman KumbaracıbaşıBurak ÇelikHakan YılmazNihat Altınkayaİpek KarapınarRüzgar AksoySeda Yıldız,Türkiye,atv,Devam ediyor,"Kuruluş Osman, Bozdağ Film imzalı, ilk bölümü 20 Kasım 2019 tarihinde yayımlanan, yönetmenliğini Metin Günay'ın yaptığı, senaryosunu Mehmet Bozdağ'ın kaleme aldığı tarihî, aksiyon, macera, kurgu ve dram türündeki Türk televizyon dizisidir.[1] Dizi, 2014-2019 yılları arasında TRT 1'de yayımlanan Diriliş ""Ertuğrul"" dizisinin devamı niteliğindedir.",5,142 (bölümleri listesi),Mehmet Bozdağ,20 Kasım 2019 - günümüz,,Alpay Göltekin
